Zeitstempel,E-Mail-Adresse,space_name,event_title,event_desc,weekday,start_time,end_time,event_url,fb_url,linkedin_url,eventbrite_url,meetup_url,paid,Link zum Event Foto / Link to Event Photo,space_id
18.09.2024 11:31:54,hallo@elbelab.work,elbelab,Coworking-Frühstück im elbelab,"Leckerer Wochenstart im elbelab mit einem Kurzimpuls ""Coworking auf dem Land?"". Und die Gelegenheit für eine kleine Führung durch die beiden Etagen wird es natürlich auch geben. An diesem Tag wird der Space übrigens neu eröffnet..",Montag / Monday,08:30:00,10:00:00,https://tickets.elbespace.de/Coworkingfestival24/,https://www.facebook.com/events/811792441136695/,,,,No,https://scontent-ber1-1.xx.fbcdn.net/v/t39.30808-6/460451718_122103982592522979_2693155366019928866_n.jpg?_nc_cat=106&ccb=1-7&_nc_sid=75d36f&_nc_ohc=hYxP_hJM5Y8Q7kNvgGnmzsm&_nc_ht=scontent-ber1-1.xx&_nc_gid=Az9aIxvgvRPpD8EqvbQCPSq&oh=00_AYB6tElPC70I6wh5_LcJawEOAH1pfbw1nKV4ORFH8yjBjw&oe=66F07171,elbelab
18.09.2024 14:24:46,hallo@elbelab.work,elbelab,Kostenloses Schnupper-Coworking,"Einen Tag kostenlos Coworking im elbelab ausprobieren (mit Getränkeflatrate inkl. Kaffee, Tee und Softdrinks)",Montag / Monday,10:00:00,15:00:00,https://tickets.elbespace.de/Coworkingfestival24/,https://www.facebook.com/events/1724285828400426/,,,,No,https://scontent-ber1-1.xx.fbcdn.net/v/t39.30808-6/460488831_122103989966522979_2795664594958291949_n.jpg?_nc_cat=108&ccb=1-7&_nc_sid=75d36f&_nc_ohc=Nn00mwSsdFMQ7kNvgEPqi7N&_nc_ht=scontent-ber1-1.xx&_nc_gid=AYkIdKlZg6LC5wqNHtAhl8Y&oh=00_AYA8mviHm1WPJ4BxU1mpZnsIefhkaegxACCzNekY3LpZGA&oe=66F09D44,elbelab
18.09.2024 14:22:50,hallo@elbelab.work,elbelab,Kostenloses Schnupper-Coworking,"
Einen Tag kostenlos Coworking im elbelab ausprobieren (mit Getränkeflatrate inkl. Kaffee, Tee und Softdrinks)",Mittwoch / Wednesday,09:30:00,17:00:00,https://tickets.elbespace.de/Coworkingfestival24/,https://www.facebook.com/events/1688658455198782/,,,,No,https://scontent-ber1-1.xx.fbcdn.net/v/t39.30808-6/460464535_122103992726522979_3877150668747206706_n.jpg?_nc_cat=111&ccb=1-7&_nc_sid=75d36f&_nc_ohc=uTfzTOQkc94Q7kNvgGJ2gGn&_nc_ht=scontent-ber1-1.xx&_nc_gid=AoD9QOFmhoxc4J-yPofx7Pw&oh=00_AYC8B--MfB-V0zVl0CRalZLkHAdiI9lhr3xqs3n10QuVgA&oe=66F0A207,elbelab
18.09.2024 14:26:42,hallo@elbelab.work,elbelab,Erstmal Kaffee,Gemeinsamer Tagesstart und Netzwerken (vor Arbeitsbeginn) mit Kaffee & Tee,Mittwoch / Wednesday,08:30:00,09:30:00,https://tickets.elbespace.de/Coworkingfestival24/,https://www.facebook.com/events/8874404989259350/,,,,No,https://scontent-ber1-1.xx.fbcdn.net/v/t39.30808-6/460343990_122103985412522979_7220649972180126121_n.jpg?_nc_cat=108&ccb=1-7&_nc_sid=75d36f&_nc_ohc=oFlsi-Zztl0Q7kNvgE8XDUn&_nc_ht=scontent-ber1-1.xx&_nc_gid=AxtKynRSlXF0Mw2-PTXOp9j&oh=00_AYA6p0RnD7b0rzczM1xuOSG2c_SVUQN4PgxlRevbEtAUNA&oe=66F0A6B5,elbelab
18.09.2024 14:34:30,hallo@elbelab.work,elbelab,Tagesausklang mit Kaltgetränken,Gemeinsam lassen wir das Coworking Festival im elbelab ausklingen....,Mittwoch / Wednesday,17:00:00,18:30:00,https://tickets.elbespace.de/Coworkingfestival24/,https://www.facebook.com/events/889558629694269/,,,,No,https://scontent-ber1-1.xx.fbcdn.net/v/t39.30808-6/460501912_122103993974522979_4159375609506218604_n.jpg?_nc_cat=100&ccb=1-7&_nc_sid=75d36f&_nc_ohc=eA9Hr2immCYQ7kNvgErH4F6&_nc_ht=scontent-ber1-1.xx&_nc_gid=AXATdADriL1CsPDo9zrBcYB&oh=00_AYBuhv_hykFkzRjf_iDZQWzySGhpaIE7SrGtEORwG92z8g&oe=66F0A0BA,elbelab
17.09.2024 16:57:58,salmon@wista.de,ST3AM Adlershof,Kostenloses Tagesticket - Free Daypass,"Freies Arbeiten
Nutzt die Chance und arbeitet in unserem Coworking Space IM.PULS mit einem kostenfreien Tagesticket und einer Menge Kaffee.

Work for free
Use the chance to work in our Coworking Space IM.PULS with a free daypass with a lot of coffee.

",Dienstag / Tuesday,09:00:00,20:00:00,https://forms.office.com/e/ScyTtMk7As,,https://www.linkedin.com/showcase/wista-coworking/?viewAsMember=true,,,No,https://secure.mediahub.ai/media/search?file=394993&gallery=394993,st3am
17.09.2024 16:31:08,salmon@wista.de,ST3AM Adlershof,Kostenloses Tagesticket - Free Daypass,"Freies Arbeiten
Nutzt die Chance und arbeitet in unserem Coworking Space IM.PULS mit einem kostenfreien Tagesticket und einer Menge Kaffee.

Work for free
Use the chance to work in our Coworking Space IM.PULS with a free daypass with a lot of coffee.

",Mittwoch / Wednesday,09:00:00,20:00:00,https://forms.office.com/e/ScyTtMk7As,,https://www.linkedin.com/showcase/wista-coworking/?viewAsMember=true,,,No,,st3am
17.09.2024 16:31:47,salmon@wista.de,ST3AM Adlershof,Kostenloses Tagesticket - Free Daypass,"Freies Arbeiten
Nutzt die Chance und arbeitet in unserem Coworking Space IM.PULS mit einem kostenfreien Tagesticket und einer Menge Kaffee.

Work for free
Use the chance to work in our Coworking Space IM.PULS with a free daypass with a lot of coffee.

",Donnerstag / Thursday,09:00:00,20:00:00,https://forms.office.com/e/ScyTtMk7As,,https://www.linkedin.com/showcase/wista-coworking/?viewAsMember=true,,,No,,st3am
17.09.2024 16:56:15,salmon@wista.de,ST3AM Adlershof,Kostenloses Tagesticket - Free Daypass,"Freies Arbeiten
Nutzt die Chance und arbeitet in unserem Coworking Space IM.PULS mit einem kostenfreien Tagesticket und einer Menge Kaffee.

Work for free
Use the chance to work in our Coworking Space IM.PULS with a free daypass with a lot of coffee.
",Freitag / Friday,09:00:00,20:00:00,https://forms.office.com/e/ScyTtMk7As,,https://www.linkedin.com/showcase/wista-coworking/?viewAsMember=true,,,No,https://secure.mediahub.ai/share/album/5c329826-c86d-47b6-9dec-0c4e8197b7e6/3101?file=395041,st3am
17.09.2024 16:34:36,salmon@wista.de,ST3AM Adlershof,Führung mit Frühstück - Tour with breakfast,"Führung durch Adlershof mit Frühstück
Wir haben eine großartige Führung durch Adlershof mit Frühstück im Angebot. Dabei erlebt ihr 100 Jahre Luftfahrtgeschichte oder die Prototypen der Energiewende. Das ist ein echtes Highlight für Jung und Alt. Außerdem zeigen wir euch geheime Orte, die sonst keiner sieht. Und für den Spaßfaktor machen wir die Führung mithilfe von E-Scootern. Diese könnt ihr vor Ort mieten oder ihr bringt euren eigenen mit. Frühstück startet um 09.00 Uhr, Tour um 10 Uhr
Schaut vorbei!

Tours of Berlin Adlershof with breakfast
Come and experience 100 years of aviation history or the prototypes for a clean energy future on our guided tours of the site. They're a great way to learn about the past and future of aviation, and they're fun for people of all ages. You'll also get to visit some secret places with our guide. To make it even more fun, we'll do it with an electric scooter. You can rent one or use your own. We'll start at 9 a.m. with breakfast. The Tour will be start at 10 am.
",Dienstag / Tuesday,09:00:00,11:30:00,https://forms.office.com/e/ScyTtMk7As,,https://www.linkedin.com/showcase/wista-coworking/?viewAsMember=true,,,No,,st3am
17.09.2024 16:36:33,salmon@wista.de,ST3AM Adlershof,Führung mit Frühstück - Tour with breakfast,"Führung durch Adlershof mit Mittagessen
Wir haben eine großartige Führung durch Adlershof mit Mittagessen im Angebot. Dabei erlebt ihr 100 Jahre Luftfahrtgeschichte oder die Prototypen der Energiewende. Das ist ein echtes Highlight für Jung und Alt. Außerdem zeigen wir euch geheime Orte, die sonst keiner sieht. Und für den Spaßfaktor machen wir die Führung mithilfe von E-Scootern. Diese könnt ihr vor Ort mieten oder ihr bringt euren eigenen mit. Führung startet um 10.00 Uhr, Lunch ist ab 11.30 Uhr.
Schaut vorbei!

Tours of Berlin Adlershof with Lunch
Come and experience 100 years of aviation history or the prototypes for a clean energy future on our guided tours of the site. They're a great way to learn about the past and future of aviation, and they're fun for people of all ages. You'll also get to visit some secret places with our guide. To make it even more fun, we'll do it with an electric scooter. You can rent one or use your own. We'll start at 10 a.m. with the Tour. Lunch will be start at 11.30 am.
",Donnerstag / Thursday,10:00:00,12:30:00,https://forms.office.com/e/ScyTtMk7As,,https://www.linkedin.com/showcase/wista-coworking/?viewAsMember=true,,,No,,st3am
17.09.2024 17:08:32,marketing@1000satellites.com,1000 Satellites Mannheim-Glückstein,Sundowner,"Gemütliches Zusammentreffen, Netzwerken und Austauschen von Personen, die an unseren Büros, Meetingräumen und Coworking-Arbeitsplätzen zentral am Mannheimer Bahnhof interessiert sind.",Mittwoch / Wednesday,16:30:00,20:00:00,https://www.linkedin.com/events/7234136664992878592/comments/,,https://www.linkedin.com/events/7234136664992878592/comments/,,,No,https://www.linkedin.com/events/7234136664992878592/comments/,1000-satellites-mannheim-glueckstein
18.09.2024 12:29:50,sales@edgeworkspaces.com,EDGE Workspaces ,Free Trial Day - Offenen Tür ,"Join Us for a Free Trial Day!

We are excited to open our doors! Come and experience our fantastic location and trial our co-working spaces on Tuesday 24th & Wednesday 25th, from 9:00 AM to 5:00 PM.

To register, simply email sales@edgeworkspaces.com or speak to our friendly reception team onsite.",Dienstag / Tuesday,09:00:00,17:00:00,,,,,,No,,edge-workspaces
18.09.2024 12:30:46,sales@edgeworkspaces.com,EDGE Workspaces ,Free Trial Day - Offenen Tür ,"Join Us for a Free Trial Day!

We are excited to open our doors! Come and experience our fantastic location and trial our co-working spaces on Tuesday 24th & Wednesday 25th, from 9:00 AM to 5:00 PM.

To register, simply email sales@edgeworkspaces.com or speak to our friendly reception team onsite.",Mittwoch / Wednesday,09:00:00,17:00:00,,,,,,No,,edge-workspaces
19.09.2024 06:54:53,lilli.breininger@saaris.saarland,co:working66,Coworking Meet-Up Saarland,Coworking Meet-Up Saarland,Montag / Monday,17:30:00,19:00:00,,,https://www.linkedin.com/feed/update/urn:li:activity:7241768633973055489,,,No,,co-working66
19.09.2024 06:58:17,lilli.breininger@saaris.saarland,Coworking Saarland,Meet & Greet,"Am Donnerstag, den 26.09.24 laden wir um 14-15.30 Uhr zu einem Meet & Greet im Coworking Saarland ein, ein Space mit Ambiente in der Steinstr. 2 in Stennweiler. Wir reden über Community Building und verschiedene Formen von Coworking. ",Donnerstag / Thursday,14:00:00,15:30:00,,,,,,No,,saarland
19.09.2024 09:31:47,info@biwoc-rising.org,BIWOC* Rising,Rechtsruck und Coworking: Warum sichere Räume wichtiger denn je sind,"In einer Zeit, in der der Rechtsruck in Deutschland spürbare Auswirkungen auf verschiedene Lebensbereiche hat, diskutieren wir in unserem Roundtable, welche Rolle Coworking Spaces in diesem Kontext spielen. Wir sprechen über die Bedeutung sicherer Räume für marginalisierte Gruppen und die Herausforderungen, die durch den politischen Wandel entstehen.

Erlebt unseren BIPoC-geführten Coworking Space bei einem Tag der offenen Tür! Am Dienstag um 19 Uhr laden wir zu einem Get Together ein, bei dem unser Space für alle offen steht. Welche Verantwortung tragen wir alle, um eine inklusive und gerechte Arbeitswelt zu fördern? ",Dienstag / Tuesday,19:00:00,21:00:00,https://biwoc-rising.org,,,,,No,,biwoc-rising
19.09.2024 10:34:25,hallo@coworking-wolle.de,Coworking Wolle,After-Work-Kanu,Nach dem Arbeiten nochmal raus aufs Wasser? Bei uns gibts diese Woche komplett kostenfreies Coworking und danach zwei Stunden freie Kanunutzung (bis maximal 19 Uhr wegen Dunkelheit). Die Kanus bekommt ihr im Wassersportzentrum Alte Feuerwache an der Rezeption.,Montag / Monday,08:00:00,19:00:00,,,,,,No,,wolle
19.09.2024 10:35:34,hallo@coworking-wolle.de,Coworking Wolle,After-Work-Kanu,Nach dem Arbeiten nochmal raus aufs Wasser? Bei uns gibts diese Woche komplett kostenfreies Coworking und danach zwei Stunden freie Kanunutzung (bis maximal 19 Uhr wegen Dunkelheit). Die Kanus bekommt ihr im Wassersportzentrum Alte Feuerwache an der Rezeption.,Dienstag / Tuesday,08:00:00,19:00:00,,,,,,No,,wolle
19.09.2024 10:36:33,hallo@coworking-wolle.de,Coworking Wolle,After-Work-Kanu,Nach dem Arbeiten nochmal raus aufs Wasser? Bei uns gibts diese Woche komplett kostenfreies Coworking und danach zwei Stunden freie Kanunutzung (bis maximal 19 Uhr wegen Dunkelheit). Die Kanus bekommt ihr im Wassersportzentrum Alte Feuerwache an der Rezeption.,Mittwoch / Wednesday,08:00:00,19:00:00,,,,,,No,,wolle
19.09.2024 10:37:22,hallo@coworking-wolle.de,Coworking Wole,After-Work-Kanu,Nach dem Arbeiten nochmal raus aufs Wasser? Bei uns gibts diese Woche komplett kostenfreies Coworking und danach zwei Stunden freie Kanunutzung (bis maximal 19 Uhr wegen Dunkelheit). Die Kanus bekommt ihr im Wassersportzentrum Alte Feuerwache an der Rezeption.,Donnerstag / Thursday,08:00:00,19:00:00,,,,,,No,,wolle
19.09.2024 10:38:28,hallo@coworking-wolle.de,Coworking Wolle,After-Work-Kanu,Nach dem Arbeiten nochmal raus aufs Wasser? Bei uns gibts diese Woche komplett kostenfreies Coworking und danach zwei Stunden freie Kanunutzung (bis maximal 19 Uhr wegen Dunkelheit). Die Kanus bekommt ihr im Wassersportzentrum Alte Feuerwache an der Rezeption.,Freitag / Friday,08:00:00,19:00:00,,,,,,No,,wolle
19.09.2024 12:24:44,kathleen@blok-o.de,BLOK O,Open Coworking,"Wir laden euch ein im Rahmes des Coworking Festivals Deutschland 2024, einen Tag das Coworking im BLOK O zu testen.",Dienstag / Tuesday,09:00:00,18:00:00,,https://fb.me/e/4MmEWSBaK,,,,No,,blok-o
19.09.2024 14:40:36,julianne@coconat-space.com,Coconat,Coworking und Smart Land Region,"Projektverstetigung durch Bündnisse

Das Vernetzungstreffen vom Bundesförderprogramm Smarte.Land.Regionen macht im Rahmen des Coworking-Festival auch Station am Coconat. Bei der Exkursion stellen regionale Akteure verschiedene Projekte vor und wie diese durch mit Hilfe starker Partnerschaften nicht nur neu ins Leben gerufen werden, sondern auch nachhaltig fortbestehen können. Neben einer Diskussionsrunde und Networking-Möglichkeiten ermöglicht die Veranstaltung Einblicke in erfolgreiche Projekte vor Ort, die als Best-Practice-Beispiele nicht nur für’s Coworking sondern für eine smarte Transformation in der Region dienen.

Keine Anmeldung mehr möglich –
-----
Project consolidation through alliances

The networking meeting of the federal funding program Smarte.Land.Regionen is also stopping off at Coconat as part of the Coworking Festival. During the excursion, regional stakeholders will present various projects and how they can not only be launched with the help of strong partnerships, but also sustainably continued. In addition to a discussion round and networking opportunities, the event provides insights into successful local projects that serve as best-practice examples not only for coworking but also for a smart transformation in the region.

SOLD OUT",Donnerstag / Thursday,10:00:00,14:00:00,https://coconat-space.com/de/events/coworking-and-smart-land-region/,,,,,No,,coconat
19.09.2024 14:42:24,julianne@coconat-space.com,Coconat,Kostenlos Coworking Tag,"Im Rahmen des Coworking Germany Festivals 2024 – TRY COWORKING!

Noch nie bei Coconat gewesen?

Hier ist deine Chance – komm vorbei und lerne unseren Space und das COCOLAB kennen.

Probiere Coworking aus und finde heraus, worum es geht!
Bis bald!
________
As a part of the Coworking Germany Festival 2024 – TRY COWORKING!

Never been to Coconat? Here’s your chance – drop by for an intro to our space and the COCOLAB.

Try out coworking  and see what it is all about!

See you soon!",Dienstag / Tuesday,08:30:00,17:00:00,https://coconat-space.com/events/free-coworking-day/,,,,,Yes,,coconat
23.09.2024 09:39:16,hans-peter.sander@ammersee-denkerhaus.de,Ammersee Denkerhaus,Aus'pendelt is!,Wir bieten Coworking-unerfahrenen Pendlerinnen & Pendlern kostenloses Schnupper-Arbeiten bei uns an.,Dienstag / Tuesday,09:00:00,05:30:00,,,,,,No,https://ammersee-denkerhaus.de/wp-content/uploads/2024/09/image-ampel-signal-kommt.jpg,ammersee-denkerhaus
23.09.2024 13:26:06,info@c-space.eu,C*SPACE Berlin ,Women Learning & Sharing Circle - Pilot am 27. September ,"Auf Initiative und in Kooperation mit unserem Co-Working-Space Mitglied Anna Poeschel, Kommunikationsexpertin und Gründerin der Women’s Society Berlin,  möchten wir im C*SPACE ein neues Lern-Angebot testen: Den Women’s Sharing & Learning Circle.
Bei einem gemeinsamen Frühstück unter Frauen wollen wir in einem moderierten Gespräch Erfahrungen austauschen und Raum bieten, sowohl Erfolge als auch Herausforderungen oder Sorgen auszutauschen, Strategien zu teilen und sich gegenseitig bei unserer beruflichen und persönlichen Reise unterstützen.

Der erste Test-Circle findet am 27. September statt und ist ein Pilot, bei dem wir gemeinsam die Richtung, Interessen und Ideen für die Ausgestaltung zukünftiger Circles besprechen wollen.  Gastgeber*innen und Circle-Leitung am 27.9.: Anna Poeschel + Katja Hellkötter, Co-Gründerin C*SPACE, Facilitator. Grundsätzlich ist angemacht, dass die Circle-Moderation auch wechseln kann und sich interessierte Frauen mit Prozessbegleitungs- und Coaching-Erfahrung einbringen können.

Uhrzeit: 9 Uhr-10:30 Uhr.  Sprache: Deutsch.
Kosten: Für Organisation & Prozessbegleitung  inkl. Frühstück wird um eine Spende zwischen EURO 25-35 gebeten.

Bei Interesse gerne anmelden unter: info@womenssociety.de.
Die Veranstaltung ist auch Teil der C*SPACE-Teilnahme an der German Co-Working Festival. ",Freitag / Friday,09:00:00,10:30:00,https://www.womenssociety.de/events/ ,,,,,Yes,,c-space
